first_seen_utc,sha256_hash,md5_hash,sha1_hash,reporter,file_type_guess,mime_type,signature,clamav,vtpercent,imphash,ssdeep,tlsh
16/09/2021 9:24,4f8b42409349dbc1c41fb5d2ec8925ff32298a272f579990eaa65f700d2287b2,200f96e411db80d114513cc854be15a7,7f74591cefe65e9e37f8583afe4db3ced2bf7fe8,GovCERT_CH,exe,application/x-dosexec,Formbook,n/a,26.87,f34d5f2d4577ed6d9ceec516c1f5a744,12288:rkHWHCM2K4CYHblsrFJ8ie74YVB+bAXxNHOyj+C:03Cvcie74qsEXxNHXX,T158A4CF243AFE8005F1B3AFB59ED97595DA7EFBA33603D81E2495038A0613B80DD8117E
16/09/2021 9:14,61e359792e38f76dfd2bb9378e8679403344449f0f40946042f8a285f4ea0548,9e080d0b1b76c7fcec1b6954b0e4faa2,4c49e168975522c86dc9e3088be827c0a65f1ec2,GovCERT_CH,exe,application/x-dosexec,AgentTesla,n/a,28.36,f34d5f2d4577ed6d9ceec516c1f5a744,12288:BWHCM2K4Cr/ZYA8d8Z7Nu5GrA8gPal9VzXj1zIdgA5th:j3CFYbd8C5fTqjj1zIn5t,T108A4C0243AEB8019F1B3EF768FD9B5969A6EF7633703D85D2191038A0613B80CD9157E
16/09/2021 9:04,b092672d7f36d3deaab664c0a562b055f9cee3f247328e639aca58f025f979ca,66fc712a2dc1321fa0fc6bdf8bcd82a5,7870ac22e3c8233430e0c5df62c72397f29e1294,GovCERT_CH,exe,application/x-dosexec,Formbook,n/a,26.87,f34d5f2d4577ed6d9ceec516c1f5a744,12288:7GR+JWHCM2K4C82OJDY5/pMTGel5JutwUXr/oS:J73CBOdceT3StvXrQS,T133A4C0243AEB8019F173BFB68FD475969A6FB7633603D46E2491038A4623B81DDC117E
16/09/2021 8:45,08a3a82d92be935113b2c4ea10082c47b8692ff1b7de3d07462a231f4578f24b,cea9b7c29462031fef77ad8ee605e6d1,c34fa0fc90487fe8ea778c7c54ed23cf8ffa81bc,abuse_ch,jar,application/zip,STRRAT,n/a,27.12,n/a,3072:zbhW7iQLQl9o4UOcEZJ8TMryUjnMLdajosIRcT:Hho3Qle7irrbM5aE9I,T137A3D09ABE6BC1F5E0030533580AE17BE61E538DD84BA27F55FD14854DB0CAE160AACF
16/09/2021 8:38,9f0ab558d73abbd9883c32a3eb93240a38b63aa97f5021a63da8602c39fe72ab,2b893f987471a486bf54a97596aff147,bcfe486a2d94dc85f7ab9ae3fece694b1533d1d1,JAMESWT_MHT,7z,application/x-7z-compressed,n/a,n/a,n/a,n/a,49152:Tp7jw5mvKphnTB8iX4SoIwvEznD69iQi7YXjY:F3w5QKprlX4Nv6nHjEXjY,T1B585236ED422BF768236D15B29CE9474AC8FA1DE3A41D723312A91EB4D41F81F838857
16/09/2021 8:38,02b0d64221a7caf1f2a5febc5cede7d66375b5a782fee0891e637f594c7a188d,2f7ef735d3db1162306de38e8a89871f,aeefb9a11680a03a477d887d109be26a09825d9f,JAMESWT_MHT,7z,application/x-7z-compressed,n/a,n/a,n/a,n/a,49152:vSthxjmd6NYhns2ePyRuor9ZgahQWwQ7v36mAFKrxB12FsaIIDJSJ6U6oCe/SNDw:vSjmwNYd+yBJZhh9jv36WB4r5D2x/1,T107B533CA4234BDE362F1AA5A26E93D3670CCB0C417346F3B54BB539765E9FD0A900D62
16/09/2021 8:30,c16b701105afe180c77befa58f8140f9583a1b0538d13b43e52eb2b996885124,91a459c227f20791aff59f13a66b3723,d5806d811789b753b9edcbb97412a333568bd001,JAMESWT_MHT,7z,application/x-7z-compressed,n/a,n/a,n/a,n/a,196608:5Nzmn6ULLY/M33Qz4WLO1iOALKgPMnmcl8k8:bmn6UnHQM11oLZPumcly,T1D466336E9D032F37C129C4C768DD9827BEA5566BEBA755B37033B40F6EA1B4B8007214
16/09/2021 8:24,1b2019f1d24663127228ee1105d64744d16a3f44a25748788153aa6722ea96ff,1afc4ea51d4c5758d3101818a1030fbd,6e41f39c68478e079e623f6e4be5767ccb3c09b8,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,65.67,6668be91e2c948b183827f040944057f,12288:VVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1:MfP7fWsK5z9A+WGAW+V5SB6Ct4bnb,T10AA5E020EF69E1E6C6B89F3E9408352727F93D75110D608CC392604F5EF86546E3E9AE
16/09/2021 8:24,1d40c5a0d24057ac1aa19869f1c67c528f0fab78ee0c3815cebe3bdf580b01d8,f55bcb77e319aec5168c5975f365b084,df5507601e1ad7f66a4970093a4e81ebe2d5fe62,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,57.38,6668be91e2c948b183827f040944057f,12288:HVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1:ufP7fWsK5z9A+WGAW+V5SB6Ct4bnb,T13C16D010EF69E1E6C6B89F3E9408352727B93D75110D608CC392608F5EF86546E3E9AE
16/09/2021 8:24,1e41fd0caad46116e9b310b641978cb908df2b28ab4384f56691307fa3527650,0ad1e05fe9bcf1d348188be6a7f429bd,a63f32705c0fab06d9101d0e023006d6955da66e,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,64.71,6668be91e2c948b183827f040944057f,12288:WVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1:LfP7fWsK5z9A+WGAW+V5SB6Ct4bnb,T1A8B5D020EE69E1E6C6B89F3ED408352727F93D75110D608CC392604F5EF86546E3E9AE
16/09/2021 8:24,2beaf176f5c0f63c9b11e99199a451f0e317e7f2ba8f235afd93a9e3e6d789df,2ae81164e9b8740ea25cb4913482deca,b5cbeb8b446ad43a9c5d6a67c2e0d18a0cb4469d,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,62.12,6668be91e2c948b183827f040944057f,12288:cVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1:pfP7fWsK5z9A+WGAW+V5SB6Ct4bnb,T194E5E010EF69E1E6C6B89F3E9408352717B93DB5110D618CC392704F9EF82546E3E9AE
16/09/2021 8:24,04d5b292ca2c89e0005b7e5e4d78c38978be9d3c4d07ce0707224f9a2ad185e5,22e96db776a7e823959481eb12730681,087d9410384a5b653224347abacc70c9503a7c6b,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,63.93,6668be91e2c948b183827f040944057f,12288:UVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1:RfP7fWsK5z9A+WGAW+V5SB6Ct4bnb,T10EF5D020EE69E1F6C6B89F3ED408352727B93D75110D608CC392604F5EF86546E3E9AE
16/09/2021 8:23,4b1b5263af45440ff71f0e216906abb6bd315e3e96e576ec600026194403b230,3967a80ad060aa84ec69d2387c21ff1a,b7aa170972fc1a11e281b525e40240990430238c,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,66.67,6668be91e2c948b183827f040944057f,12288:DVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1e:SfP7fWsK5z9A+WGAW+V5SB6Ct4bnbe,T121B5D010FE69EDE6C6B99F3E9408352317B93D74030DA18CC392604F5EF86546E3E99A
16/09/2021 8:23,4b27ceec285c9f67dd1658b92738e7f851fccb71720d40ccf50d7cafd3b49ef3,04aa42117016fafef061a028d71d2285,7cea9c64b148fdaad5b2fa3353cbc13ef8a6783e,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,59.65,6668be91e2c948b183827f040944057f,12288:NVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1:UfP7fWsK5z9A+WGAW+V5SB6Ct4bnb,T171D5E020EE69E1E6C6B89F3E9408352727F93D75110D608CC392704F5EF86546E3E9AE
16/09/2021 8:23,4b5379ebbb0ab2f66ac40105161166af6e68d26f0b73b026f6c7da6920e756b9,0a07c3f68e809d673a3fe7924aca09a1,fb0295f6e601367b92e468d883c38eee8a55d4e4,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,64.71,6668be91e2c948b183827f040944057f,12288:IVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1:dfP7fWsK5z9A+WGAW+V5SB6Ct4bnb,T1DAB5E020EE69E1E6C6B89F3E9408352717B93D75110D608CC392708F5EFC6546E3E9AE
16/09/2021 8:23,4ea88c69cc9d644d4dbe8177e7d685096c3d4e70bd82a50c518ac975396d34d0,0cbb9b38cf0304888d6a5fe4e37d688c,5de2d6526bccbd9bcdbb99dd37da8e135f02377e,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,65.15,6668be91e2c948b183827f040944057f,12288:oVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1MHhi:9fP7fWsK5z9A+WGAW+V5SB6Ct4bnb6,T19CC56B10FFF605C3C09DF739788D3415B2B3AA65811F8A4C824F131E6DA5B912E6E99B
16/09/2021 8:23,5a8fd82052021c6417f9abe42699709d6a2195d95c0c5bd36e0169f7673d34b9,1a137a95afed9d1c787cdcccb8c1b6fa,6254032732ff82c45f2fd9ed54e5f635b1cb3462,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,64.71,6668be91e2c948b183827f040944057f,12288:OVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1:TfP7fWsK5z9A+WGAW+V5SB6Ct4bnb,T193B5D010FE69EDE6C6B99F3E9408352317B93D74130DA18CC391604F5EF82546E3E9AA
16/09/2021 8:23,5e7082686730f3db53e03178f1bb89ba764e7e491497b8b32091fc3873f09467,060b0e7a776c8344eaf072699c88a8fd,2d718256d10dbf1d53ae1f7c87bbd5451a8e5a54,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,60.61,6668be91e2c948b183827f040944057f,12288:DVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ1:SfP7fWsK5z9A+WGAW+V5SB6Ct4bnb,T1FFE5D020EF69E1E6C6B89F3E9408352727B93D75110D608CC396704F5EF82546E3E9AE
16/09/2021 8:23,6b994eae36585d2ae6697d56fd39e74d0ef7c06482cdb8b89091e75431588659,154e2bc6267a2f2633af5cdbd905ad07,01ed411fec36aa94fe40e5e44651ab3616585b83,JAMESWT_MHT,exe,application/x-dosexec,Dridex,n/a,65.67,6668be91e2c948b183827f040944057f,12288:ZVI0W/TtlPLfJCm3WIYxJ9yK5IQ9PElOlidGAWilgm5Qq0nB6wtt4AenZ15+lBa:YfP7fWsK5z9A+WGAW+V5SB6Ct4bnb0l,T166D56B10FFF605C3C09DF739789D3415A2B3AA65811F8B1C824F131E6CA5B912E6E99B
