File,nSample,Hash,Cluster,Has_n/a,nLabel,nCluster,Time(s),Homo.,Sil.,Cal.,Dav.
mb_1K,1000.0,tlsh,hac,1.0,56.0,55.0,3.0655,0.4868,-0.5955,5.18,254.3434
mb_1K,1000.0,tlsh,hac-t,1.0,56.0,85.0,0.6469,0.3453,-0.7175,3.3395,32.7432
mb_1K,1000.0,tlsh,dbscan,1.0,56.0,71.0,8.3827,0.3336,-0.726,3.7629,41.5689
mb_1K,1000.0,tlsh,kmeans,1.0,56.0,55.0,0.5196,0.4641,-0.5742,7.1151,744.5045
mb_1K,1000.0,tlsh,ms,1.0,56.0,165.0,1.9147,0.6467,-0.689,3.308,92.5336
mb_1K,1000.0,tlsh,sp,1.0,56.0,165.0,1.9674,0.6467,-0.689,3.308,92.5336
mb_1K,1000.0,tlsh,optics,1.0,56.0,200.0,16.5299,0.5552,-0.66,2.6908,77.64
mb_1K,1000.0,tlsh,birch,1.0,56.0,55.0,0.2058,0.4522,-0.6361,6.929,144.8826
