nSample,Hash,Cluster,nLabel,nCluster,Time(s),Homogeneity,Silhouette
199988,tlsh,dbscan,442,6911,21602.0068,0.935,0.823
199988,tlsh,hac-t,442,8347,1298.2555,0.9503,0.8332
199988,tlsh,optics,442,35538,39499.7225,0.965,0.8052
