nSample,Hash,Cluster,nLabel,nCluster,Time(s),Homogeneity,Silhouette
10000,tlsh,ac,156,155,65.0494,0.4719,0.2001
10000,tlsh,dbscan,156,697,103.5068,0.801,0.5782
10000,tlsh,hac-t,156,901,9.2659,0.8653,0.5827
10000,tlsh,optics,156,1839,167.7453,0.9227,0.5218
