File,nSample,Hash,Cluster,Has_n/a,nLabel,nCluster,Time(s),Homo.,Sil.,Cal.,Dav.
mb_7K,7000.0,tlsh,hac,1.0,133.0,132.0,228.7693,0.4517,-0.7887,9.985,1941.5023
mb_7K,7000.0,tlsh,hac-t,1.0,133.0,683.0,24.2973,0.4257,-0.75,4.6662,135.4369
mb_7K,7000.0,tlsh,dbscan,1.0,133.0,541.0,449.1952,0.4068,-0.758,5.5001,89.7709
mb_7K,7000.0,tlsh,kmeans,1.0,133.0,132.0,2.5163,0.3473,-0.6472,6.9437,2278.99
mb_7K,7000.0,tlsh,ms,1.0,133.0,1165.0,14.6289,0.6727,-0.8251,3.2672,314.9535
mb_7K,7000.0,tlsh,sp,1.0,133.0,1165.0,13.5519,0.6727,-0.8251,3.2672,314.9535
mb_7K,7000.0,tlsh,optics,1.0,133.0,1314.0,703.6178,0.5203,-0.6538,3.8082,120.2531
mb_7K,7000.0,tlsh,birch,1.0,133.0,132.0,2.0322,0.3353,-0.6533,6.4666,826.1394
