nSample,Hash,Cluster,nLabel,nCluster,Time(s),Homo.,Sil.,Cal.,Dav.
100,tlsh,ac,28,27,0.0075,0.6157,0.2807,3.7311,17.2725
100,tlsh,hac-t,28,5,0.008,0.5518,0.5997,2.8701,3.4608
100,tlsh,dbscan,28,5,0.0142,0.5171,0.5771,3.2099,100.8065
100,tlsh,optics,28,25,0.0745,0.7367,0.4076,4.4834,52.5237
100,tlsh,kmeans,28,27,0.0768,0.6293,-0.2809,1955.0426,0.477
100,tlsh,kmeans,28,4,0.0208,0.2993,-0.0342,567.87,0.4991
100,tlsh,kmeans,28,4,0.0205,0.2993,-0.0342,567.87,0.4991
100,tlsh,birch,28,27,0.0048,0.6774,-0.2707,1963.705,0.5
100,tlsh,birch,28,4,0.0056,0.258,-0.074,424.6907,0.5
100,tlsh,birch,28,4,0.0076,0.258,-0.074,424.6907,0.5
100,tlsh,ms,28,15,0.0716,0.5222,-0.1847,1368.833,0.4988
100,tlsh,sp,28,27,0.0248,0.6311,-0.2421,2133.8718,0.4847
