File,nSample,Hash,Cluster,Has_n/a,nLabel,nCluster,Time(s),Homo.,Sil.,Cal.,Dav.
mb_10K,10000.0,tlsh,hac,1.0,151.0,150.0,73.2778,0.4345,-0.8898,11.9176,6964.4987
mb_10K,10000.0,tlsh,hac-t,1.0,151.0,930.0,12.58,0.4088,-0.7562,4.4471,241.9588
mb_10K,10000.0,tlsh,dbscan,1.0,151.0,733.0,128.4386,0.3846,-0.776,4.9668,192.4118
mb_10K,10000.0,tlsh,kmeans,1.0,151.0,150.0,1.921,0.309,-0.6362,8.4788,2334.3354
mb_10K,10000.0,tlsh,ms,1.0,151.0,1665.0,6.6676,0.6664,-0.8613,2.5916,393.7613
mb_10K,10000.0,tlsh,sp,1.0,151.0,1665.0,6.3746,0.6664,-0.8613,2.5916,393.7613
mb_10K,10000.0,tlsh,optics,1.0,151.0,1841.0,212.6202,0.5053,-0.6585,3.0115,204.0895
mb_10K,10000.0,tlsh,birch,1.0,151.0,150.0,2.1807,0.3058,-0.6336,7.7298,1171.5769
