nSample,Hash,Cluster,nLabel,nCluster,Time(s),Homo.,Sil.,Cal.,Dav.
20,tlsh,kmeans,7,6,0.0111,0.6209,-0.2017,113.1,0.4508
20,tlsh,birch,7,6,0.0012,0.6147,-0.1114,82.5882,0.5
20,tlsh,ac,7,6,0.0007,0.8691,0.2197,0.7484,10.4769
20,tlsh,sp,7,6,0.0119,0.6417,-0.0898,113.1,0.454
20,tlsh,ms,7,1,0.016,0.1902,0.0069,52.4118,0.4949
20,tlsh,optics,7,5,0.009,0.7921,0.3036,1.4728,22.9242
